"구분(1)",구분(2),구분(3),구분(4),2020
"광주",재활용 가능자원 분리배출,영농폐기물,농약용기류,0.8
"광주",재활용 가능자원 분리배출,영농폐기물,폐비닐,297.8
"광주",재활용 가능자원 분리배출,폐식용유,소계,0.0
"광주",재활용 가능자원 분리배출,폐전기전자제품,소계,1452.8
"광주",재활용 가능자원 분리배출,폐가구류,소계,0.0
"광주",재활용 가능자원 분리배출,기타,소계,4029.7
"광주",재활용 가능자원 분리배출,재활용 잔재물,소계,15014.2
"광주",음식물류 폐기물 분리배출,소계,소계,161643.9
"대전",합계,소계,소계,498151.8
"대전",종량제방식 등 혼합배출,소계,소계,233028.3
"대전",종량제방식 등 혼합배출,가연성,소계,208689.1
"대전",종량제방식 등 혼합배출,가연성,폐지류,45629.8
"대전",종량제방식 등 혼합배출,가연성,폐합성수지류,41863.0
"대전",종량제방식 등 혼합배출,가연성,폐고무류,1693.9
"대전",종량제방식 등 혼합배출,가연성,폐섬유류,9879.7
"대전",종량제방식 등 혼합배출,가연성,음식물류 폐기물,13988.5
"대전",종량제방식 등 혼합배출,가연성,폐목재류,8453.5
"대전",종량제방식 등 혼합배출,가연성,기타,87180.7
"대전",종량제방식 등 혼합배출,불연성,소계,16409.4
"대전",종량제방식 등 혼합배출,불연성,폐금속류,3595.5
"대전",종량제방식 등 혼합배출,불연성,폐유리류,4754.6
"대전",종량제방식 등 혼합배출,불연성,폐토사류,767.4
"대전",종량제방식 등 혼합배출,불연성,폐타일 및 도자기류,555.8
"대전",종량제방식 등 혼합배출,불연성,연탄재,154.2
"대전",종량제방식 등 혼합배출,불연성,기타,6581.9
"대전",종량제방식 등 혼합배출,건설폐재류,건설폐재류(공사장생활폐기물),6531.7
"대전",종량제방식 등 혼합배출,기타(배출불명등),소계,1398.1
"대전",재활용 가능자원 분리배출,소계,소계,109915.3
"대전",재활용 가능자원 분리배출,폐지류,종이팩,231.3
"대전",재활용 가능자원 분리배출,폐지류,기타,27072.2
"대전",재활용 가능자원 분리배출,고철류,소계,1050.9
"대전",재활용 가능자원 분리배출,금속캔,소계,3212.4
"대전",재활용 가능자원 분리배출,폐합성수지류,비닐류,16992.2
"대전",재활용 가능자원 분리배출,폐합성수지류,발포수지류,10628.3
"대전",재활용 가능자원 분리배출,폐합성수지류,PET병,3727.4
"대전",재활용 가능자원 분리배출,폐합성수지류,기타,11638.6
"대전",재활용 가능자원 분리배출,폐고무류,소계,0.0
"대전",재활용 가능자원 분리배출,폐유리병류,소계,7445.5
"대전",재활용 가능자원 분리배출,폐의류,소계,1948.0
"대전",재활용 가능자원 분리배출,폐섬유류,소계,0.0
"대전",재활용 가능자원 분리배출,폐형광등,소계,254.1
"대전",재활용 가능자원 분리배출,폐전지류,소계,127.9
"대전",재활용 가능자원 분리배출,영농폐기물,농약용기류,5.1
