지역,종류,날짜,수치
경상북도,미세먼지 PM2.5,2019.04,16.333333333333332
경상북도,아황산가스,2019.04,0.0033333333333333335
경상북도,오존,2019.04,0.04066666666666666
경상북도,이산화질소,2019.04,0.013416666666666667
경상북도,일산화탄소,2019.04,0.35000000000000003
광주광역시,미세먼지 PM10,2019.04,43.0
광주광역시,미세먼지 PM2.5,2019.04,20.0
광주광역시,아황산가스,2019.04,0.002
광주광역시,오존,2019.04,0.036
광주광역시,이산화질소,2019.04,0.019
광주광역시,일산화탄소,2019.04,0.4
대구광역시,미세먼지 PM10,2019.04,40.0
대구광역시,미세먼지 PM2.5,2019.04,19.0
대구광역시,아황산가스,2019.04,0.003
대구광역시,오존,2019.04,0.036
대구광역시,이산화질소,2019.04,0.017
대구광역시,일산화탄소,2019.04,0.4
대전광역시,미세먼지 PM10,2019.04,40.0
대전광역시,미세먼지 PM2.5,2019.04,16.0
대전광역시,아황산가스,2019.04,0.002
대전광역시,오존,2019.04,0.03
대전광역시,이산화질소,2019.04,0.018
대전광역시,일산화탄소,2019.04,0.3
부산광역시,미세먼지 PM10,2019.04,40.0
부산광역시,미세먼지 PM2.5,2019.04,20.0
부산광역시,아황산가스,2019.04,0.005
부산광역시,오존,2019.04,0.037
부산광역시,이산화질소,2019.04,0.019
부산광역시,일산화탄소,2019.04,0.4
서울특별시,미세먼지 PM10,2019.04,41.0
서울특별시,미세먼지 PM2.5,2019.04,21.0
서울특별시,아황산가스,2019.04,0.004
서울특별시,오존,2019.04,0.029
서울특별시,이산화질소,2019.04,0.029
서울특별시,일산화탄소,2019.04,0.5
세종특별자치시,미세먼지 PM10,2019.04,40.0
세종특별자치시,미세먼지 PM2.5,2019.04,19.0
세종특별자치시,아황산가스,2019.04,0.003
세종특별자치시,오존,2019.04,0.036
세종특별자치시,이산화질소,2019.04,0.018
세종특별자치시,일산화탄소,2019.04,0.4
울산광역시,미세먼지 PM10,2019.04,40.0
울산광역시,미세먼지 PM2.5,2019.04,19.0
울산광역시,아황산가스,2019.04,0.006
울산광역시,오존,2019.04,0.037
울산광역시,이산화질소,2019.04,0.021
울산광역시,일산화탄소,2019.04,0.5
인천광역시,미세먼지 PM10,2019.04,43.0
인천광역시,미세먼지 PM2.5,2019.04,20.0
인천광역시,아황산가스,2019.04,0.005
인천광역시,오존,2019.04,0.033
인천광역시,이산화질소,2019.04,0.026
인천광역시,일산화탄소,2019.04,0.5
전라남도,미세먼지 PM10,2019.04,34.36842105263158
전라남도,미세먼지 PM2.5,2019.04,17.36842105263158
전라남도,아황산가스,2019.04,0.003473684210526316
전라남도,오존,2019.04,0.04
전라남도,이산화질소,2019.04,0.010421052631578947
전라남도,일산화탄소,2019.04,0.5
전라북도,미세먼지 PM10,2019.04,42.53333333333333
전라북도,미세먼지 PM2.5,2019.04,22.066666666666666
전라북도,아황산가스,2019.04,0.0032
전라북도,오존,2019.04,0.04053333333333333
전라북도,이산화질소,2019.04,0.0118
전라북도,일산화탄소,2019.04,0.38
제주특별자치도,미세먼지 PM10,2019.04,38.666666666666664
제주특별자치도,미세먼지 PM2.5,2019.04,19.333333333333332
제주특별자치도,아황산가스,2019.04,0.0030000000000000005
제주특별자치도,오존,2019.04,0.052
제주특별자치도,이산화질소,2019.04,0.011000000000000001
제주특별자치도,일산화탄소,2019.04,0.3
충청남도,미세먼지 PM10,2019.04,41.375
충청남도,미세먼지 PM2.5,2019.04,21.4375
충청남도,아황산가스,2019.04,0.003875
충청남도,오존,2019.04,0.0376875
충청남도,이산화질소,2019.04,0.013375
충청남도,일산화탄소,2019.04,0.49375
충청북도,미세먼지 PM10,2019.04,41.833333333333336
충청북도,미세먼지 PM2.5,2019.04,22.666666666666668
충청북도,아황산가스,2019.04,0.0031666666666666666
충청북도,오존,2019.04,0.036083333333333335
충청북도,이산화질소,2019.04,0.0155
충청북도,일산화탄소,2019.04,0.375
강원도,미세먼지 PM10,2019.05,44.94736842105263
강원도,미세먼지 PM2.5,2019.05,22.473684210526315
강원도,아황산가스,2019.05,0.0024210526315789475
강원도,오존,2019.05,0.05626315789473684
강원도,이산화질소,2019.05,0.009611111111111112
강원도,일산화탄소,2019.05,0.4315789473684211
경기도,미세먼지 PM10,2019.05,54.96875
경기도,미세먼지 PM2.5,2019.05,27.21875
경기도,아황산가스,2019.05,0.00428125
경기도,오존,2019.05,0.04875
경기도,이산화질소,2019.05,0.02075
경기도,일산화탄소,2019.05,0.471875
경상남도,미세먼지 PM10,2019.05,45.53333333333333
경상남도,미세먼지 PM2.5,2019.05,19.6
경상남도,아황산가스,2019.05,0.0038
경상남도,오존,2019.05,0.0552
경상남도,이산화질소,2019.05,0.013933333333333332
경상남도,일산화탄소,2019.05,0.39333333333333337
경상북도,미세먼지 PM10,2019.05,45.53846153846154
경상북도,미세먼지 PM2.5,2019.05,20.0
경상북도,아황산가스,2019.05,0.004230769230769231
경상북도,오존,2019.05,0.05361538461538461
경상북도,이산화질소,2019.05,0.012692307692307694
경상북도,일산화탄소,2019.05,0.3384615384615385
광주광역시,미세먼지 PM10,2019.05,50.0
광주광역시,미세먼지 PM2.5,2019.05,22.0
광주광역시,아황산가스,2019.05,0.003
광주광역시,오존,2019.05,0.048
광주광역시,이산화질소,2019.05,0.017
광주광역시,일산화탄소,2019.05,0.4
대구광역시,미세먼지 PM10,2019.05,46.0
대구광역시,미세먼지 PM2.5,2019.05,23.0
대구광역시,아황산가스,2019.05,0.003
대구광역시,오존,2019.05,0.048
대구광역시,이산화질소,2019.05,0.016
대구광역시,일산화탄소,2019.05,0.4
대전광역시,미세먼지 PM10,2019.05,46.0
대전광역시,미세먼지 PM2.5,2019.05,22.0
대전광역시,아황산가스,2019.05,0.003
대전광역시,오존,2019.05,0.045
대전광역시,이산화질소,2019.05,0.017
대전광역시,일산화탄소,2019.05,0.4
부산광역시,미세먼지 PM10,2019.05,47.0
부산광역시,미세먼지 PM2.5,2019.05,25.0
부산광역시,아황산가스,2019.05,0.006
부산광역시,오존,2019.05,0.048
부산광역시,이산화질소,2019.05,0.021
부산광역시,일산화탄소,2019.05,0.4
서울특별시,미세먼지 PM10,2019.05,52.0
서울특별시,미세먼지 PM2.5,2019.05,29.0
서울특별시,아황산가스,2019.05,0.005
서울특별시,오존,2019.05,0.043
서울특별시,이산화질소,2019.05,0.028
서울특별시,일산화탄소,2019.05,0.5
세종특별자치시,미세먼지 PM10,2019.05,50.0
세종특별자치시,미세먼지 PM2.5,2019.05,25.0
세종특별자치시,아황산가스,2019.05,0.004
세종특별자치시,오존,2019.05,0.051
세종특별자치시,이산화질소,2019.05,0.018
세종특별자치시,일산화탄소,2019.05,0.5
울산광역시,미세먼지 PM10,2019.05,49.0
울산광역시,미세먼지 PM2.5,2019.05,26.0
울산광역시,아황산가스,2019.05,0.007
울산광역시,오존,2019.05,0.047
울산광역시,이산화질소,2019.05,0.024
울산광역시,일산화탄소,2019.05,0.5
인천광역시,미세먼지 PM10,2019.05,51.0
인천광역시,미세먼지 PM2.5,2019.05,26.0
인천광역시,아황산가스,2019.05,0.006
인천광역시,오존,2019.05,0.046
인천광역시,이산화질소,2019.05,0.023
인천광역시,일산화탄소,2019.05,0.5
전라남도,미세먼지 PM10,2019.05,42.36842105263158
전라남도,미세먼지 PM2.5,2019.05,21.736842105263158
전라남도,아황산가스,2019.05,0.004
전라남도,오존,2019.05,0.051157894736842104
전라남도,이산화질소,2019.05,0.009421052631578946
전라남도,일산화탄소,2019.05,0.4842105263157894
전라북도,미세먼지 PM10,2019.05,48.4
전라북도,미세먼지 PM2.5,2019.05,24.4
전라북도,아황산가스,2019.05,0.003266666666666667
전라북도,오존,2019.05,0.054599999999999996
전라북도,이산화질소,2019.05,0.010466666666666668
전라북도,일산화탄소,2019.05,0.38571428571428573
제주특별자치도,미세먼지 PM10,2019.05,43.333333333333336
제주특별자치도,미세먼지 PM2.5,2019.05,19.333333333333332
제주특별자치도,아황산가스,2019.05,0.0030000000000000005
제주특별자치도,오존,2019.05,0.06266666666666666
제주특별자치도,이산화질소,2019.05,0.01
제주특별자치도,일산화탄소,2019.05,0.3
충청남도,미세먼지 PM10,2019.05,50.625
충청남도,미세먼지 PM2.5,2019.05,26.8125
충청남도,아황산가스,2019.05,0.004375
충청남도,오존,2019.05,0.0536875
충청남도,이산화질소,2019.05,0.011125
충청남도,일산화탄소,2019.05,0.4875
충청북도,미세먼지 PM10,2019.05,48.833333333333336
충청북도,미세먼지 PM2.5,2019.05,27.25
충청북도,아황산가스,2019.05,0.0031666666666666666
충청북도,오존,2019.05,0.04933333333333333
충청북도,이산화질소,2019.05,0.014333333333333332
충청북도,일산화탄소,2019.05,0.3666666666666667
강원도,미세먼지 PM10,2019.06,28.473684210526315
강원도,미세먼지 PM2.5,2019.06,16.789473684210527
강원도,아황산가스,2019.06,0.0020526315789473684
강원도,오존,2019.06,0.04368421052631579
강원도,이산화질소,2019.06,0.007777777777777778
강원도,일산화탄소,2019.06,0.3526315789473684
경기도,미세먼지 PM10,2019.06,31.096774193548388
경기도,미세먼지 PM2.5,2019.06,18.258064516129032
경기도,아황산가스,2019.06,0.0034000000000000002
경기도,오존,2019.06,0.04287096774193548
경기도,이산화질소,2019.06,0.015806451612903224
경기도,일산화탄소,2019.06,0.4
경상남도,미세먼지 PM10,2019.06,35.86666666666667
경상남도,미세먼지 PM2.5,2019.06,19.066666666666666
경상남도,아황산가스,2019.06,0.0033333333333333335
경상남도,오존,2019.06,0.045599999999999995
경상남도,이산화질소,2019.06,0.011866666666666666
경상남도,일산화탄소,2019.06,0.38
경상북도,미세먼지 PM10,2019.06,30.916666666666668
경상북도,미세먼지 PM2.5,2019.06,16.833333333333332
경상북도,아황산가스,2019.06,0.0035
경상북도,오존,2019.06,0.045500000000000006
경상북도,이산화질소,2019.06,0.01025
경상북도,일산화탄소,2019.06,0.35833333333333334
광주광역시,미세먼지 PM10,2019.06,40.0
광주광역시,미세먼지 PM2.5,2019.06,25.0
광주광역시,아황산가스,2019.06,0.002
광주광역시,오존,2019.06,0.039
광주광역시,이산화질소,2019.06,0.014
광주광역시,일산화탄소,2019.06,0.4
대구광역시,미세먼지 PM10,2019.06,32.0
대구광역시,미세먼지 PM2.5,2019.06,20.0
대구광역시,아황산가스,2019.06,0.002
대구광역시,오존,2019.06,0.044
대구광역시,이산화질소,2019.06,0.013
대구광역시,일산화탄소,2019.06,0.4
대전광역시,미세먼지 PM10,2019.06,30.0
대전광역시,미세먼지 PM2.5,2019.06,18.0
대전광역시,아황산가스,2019.06,0.002
대전광역시,오존,2019.06,0.038
대전광역시,이산화질소,2019.06,0.013
대전광역시,일산화탄소,2019.06,0.3
부산광역시,미세먼지 PM10,2019.06,32.0
부산광역시,미세먼지 PM2.5,2019.06,21.0
부산광역시,아황산가스,2019.06,0.006
부산광역시,오존,2019.06,0.038
부산광역시,이산화질소,2019.06,0.016
부산광역시,일산화탄소,2019.06,0.4
서울특별시,미세먼지 PM10,2019.06,29.0
서울특별시,미세먼지 PM2.5,2019.06,20.0
서울특별시,아황산가스,2019.06,0.004
서울특별시,오존,2019.06,0.039
서울특별시,이산화질소,2019.06,0.02
서울특별시,일산화탄소,2019.06,0.4
세종특별자치시,미세먼지 PM10,2019.06,34.0
세종특별자치시,미세먼지 PM2.5,2019.06,20.0
세종특별자치시,아황산가스,2019.06,0.003
세종특별자치시,오존,2019.06,0.044
세종특별자치시,이산화질소,2019.06,0.015
세종특별자치시,일산화탄소,2019.06,0.5
울산광역시,미세먼지 PM10,2019.06,34.0
울산광역시,미세먼지 PM2.5,2019.06,22.0
울산광역시,아황산가스,2019.06,0.007
울산광역시,오존,2019.06,0.038
울산광역시,이산화질소,2019.06,0.019
울산광역시,일산화탄소,2019.06,0.5
인천광역시,미세먼지 PM10,2019.06,29.0
인천광역시,미세먼지 PM2.5,2019.06,17.0
인천광역시,아황산가스,2019.06,0.004
인천광역시,오존,2019.06,0.041
인천광역시,이산화질소,2019.06,0.017
인천광역시,일산화탄소,2019.06,0.4
전라남도,미세먼지 PM10,2019.06,31.7
전라남도,미세먼지 PM2.5,2019.06,20.68421052631579
