범죄명,연도,검거기간,범죄종류,범죄자수
폭력행위등,2012,1년초과,폭력범죄,1069
폭력행위등,2012,미상,폭력범죄,1
공갈,2012,1일이내,폭력범죄,631
공갈,2012,2일이내,폭력범죄,71
공갈,2012,3일이내,폭력범죄,86
공갈,2012,10일이내,폭력범죄,366
공갈,2012,1개월이내,폭력범죄,760
공갈,2012,3개월이내,폭력범죄,1001
공갈,2012,6개월이내,폭력범죄,683
공갈,2012,1년이내,폭력범죄,635
공갈,2012,1년초과,폭력범죄,596
손괴,2012,1일이내,폭력범죄,14182
손괴,2012,2일이내,폭력범죄,419
손괴,2012,3일이내,폭력범죄,497
손괴,2012,10일이내,폭력범죄,2746
손괴,2012,1개월이내,폭력범죄,3806
손괴,2012,3개월이내,폭력범죄,3284
손괴,2012,6개월이내,폭력범죄,1073
손괴,2012,1년이내,폭력범죄,536
손괴,2012,1년초과,폭력범죄,527
손괴,2012,미상,폭력범죄,0
직무유기,2012,1일이내,지능범죄,2
직무유기,2012,2일이내,지능범죄,1
직무유기,2012,3일이내,지능범죄,0
직무유기,2012,10일이내,지능범죄,8
직무유기,2012,1개월이내,지능범죄,17
직무유기,2012,3개월이내,지능범죄,89
직무유기,2012,6개월이내,지능범죄,68
직무유기,2012,1년이내,지능범죄,65
직무유기,2012,1년초과,지능범죄,108
직권남용,2012,1일이내,지능범죄,1
직권남용,2012,2일이내,지능범죄,1
직권남용,2012,3일이내,지능범죄,2
직권남용,2012,10일이내,지능범죄,5
직권남용,2012,1개월이내,지능범죄,21
직권남용,2012,3개월이내,지능범죄,53
직권남용,2012,6개월이내,지능범죄,27
직권남용,2012,1년이내,지능범죄,21
직권남용,2012,1년초과,지능범죄,61
증수뢰,2012,1일이내,지능범죄,12
증수뢰,2012,2일이내,지능범죄,1
증수뢰,2012,3일이내,지능범죄,1
증수뢰,2012,10일이내,지능범죄,3
증수뢰,2012,1개월이내,지능범죄,5
증수뢰,2012,3개월이내,지능범죄,20
증수뢰,2012,6개월이내,지능범죄,27
증수뢰,2012,1년이내,지능범죄,89
증수뢰,2012,1년초과,지능범죄,182
통화,2012,1일이내,지능범죄,33
통화,2012,2일이내,지능범죄,7
통화,2012,3일이내,지능범죄,4
통화,2012,10일이내,지능범죄,56
통화,2012,1개월이내,지능범죄,38
통화,2012,3개월이내,지능범죄,101
통화,2012,6개월이내,지능범죄,16
통화,2012,1년이내,지능범죄,6
통화,2012,1년초과,지능범죄,4
문서·인장,2012,1일이내,지능범죄,966
문서·인장,2012,2일이내,지능범죄,37
문서·인장,2012,3일이내,지능범죄,48
문서·인장,2012,10일이내,지능범죄,311
문서·인장,2012,1개월이내,지능범죄,982
문서·인장,2012,3개월이내,지능범죄,1821
문서·인장,2012,6개월이내,지능범죄,1387
문서·인장,2012,1년이내,지능범죄,1635
문서·인장,2012,1년초과,지능범죄,4460
유가증권인지,2012,1일이내,지능범죄,10
유가증권인지,2012,2일이내,지능범죄,0
유가증권인지,2012,3일이내,지능범죄,0
유가증권인지,2012,10일이내,지능범죄,3
유가증권인지,2012,1개월이내,지능범죄,27
유가증권인지,2012,3개월이내,지능범죄,36
유가증권인지,2012,6개월이내,지능범죄,68
유가증권인지,2012,1년이내,지능범죄,72
유가증권인지,2012,1년초과,지능범죄,143
사기,2012,1일이내,지능범죄,13072
사기,2012,2일이내,지능범죄,390
사기,2012,3일이내,지능범죄,279
사기,2012,10일이내,지능범죄,2602
사기,2012,1개월이내,지능범죄,12885
사기,2012,3개월이내,지능범죄,27368
사기,2012,6개월이내,지능범죄,19822
사기,2012,1년이내,지능범죄,25527
사기,2012,1년초과,지능범죄,58901
사기,2012,미상,지능범죄,6
횡령,2012,1일이내,지능범죄,728
횡령,2012,2일이내,지능범죄,124
횡령,2012,3일이내,지능범죄,88
횡령,2012,10일이내,지능범죄,599
횡령,2012,1개월이내,지능범죄,1472
횡령,2012,3개월이내,지능범죄,3195
횡령,2012,6개월이내,지능범죄,2880
횡령,2012,1년이내,지능범죄,3550
횡령,2012,1년초과,지능범죄,9286
횡령,2012,미상,지능범죄,1
배임,2012,1일이내,지능범죄,1
배임,2012,2일이내,지능범죄,1
배임,2012,3일이내,지능범죄,2
배임,2012,10일이내,지능범죄,6
배임,2012,1개월이내,지능범죄,66
배임,2012,3개월이내,지능범죄,311
배임,2012,6개월이내,지능범죄,400
배임,2012,1년이내,지능범죄,691
배임,2012,1년초과,지능범죄,2182
배임,2012,미상,지능범죄,1
성풍속범죄,2012,1일이내,풍속범죄,3299
성풍속범죄,2012,2일이내,풍속범죄,140
성풍속범죄,2012,3일이내,풍속범죄,135
성풍속범죄,2012,10일이내,풍속범죄,1156
성풍속범죄,2012,1개월이내,풍속범죄,3128
성풍속범죄,2012,3개월이내,풍속범죄,3201
성풍속범죄,2012,6개월이내,풍속범죄,1122
성풍속범죄,2012,1년이내,풍속범죄,664
성풍속범죄,2012,1년초과,풍속범죄,581
