iter	Passed	Remaining
1784	404	275
1785	404	274
1786	404	274
1787	404	274
1788	404	274
1789	405	273
1790	405	273
1791	405	273
1792	405	273
1793	405	272
1794	406	272
1795	406	272
1796	406	272
1797	406	271
1798	406	271
1799	406	271
1800	407	271
1801	407	270
1802	407	270
1803	408	270
1804	408	270
1805	408	270
1806	408	269
1807	408	269
1808	409	269
1809	409	269
1810	409	268
1811	409	268
1812	410	268
1813	410	268
1814	410	268
1815	410	267
1816	411	267
1817	411	267
1818	411	267
1819	411	267
1820	412	266
1821	412	266
1822	412	266
1823	413	266
1824	413	266
1825	413	265
1826	413	265
1827	413	265
1828	414	265
1829	414	265
1830	414	264
1831	414	264
1832	415	264
1833	415	264
1834	415	263
1835	415	263
1836	416	263
1837	416	263
1838	416	263
1839	416	262
1840	417	262
1841	417	262
1842	417	262
1843	417	261
1844	418	261
1845	418	261
1846	418	261
1847	418	261
1848	419	260
1849	419	260
1850	419	260
1851	420	260
1852	420	260
1853	420	260
1854	421	259
1855	421	259
1856	421	259
1857	421	259
1858	422	259
1859	422	258
1860	423	259
1861	423	259
1862	424	258
1863	424	258
1864	424	258
1865	425	258
1866	425	258
1867	425	258
1868	426	257
1869	426	257
1870	426	257
1871	426	257
1872	426	256
1873	427	256
1874	427	256
1875	427	256
1876	427	255
1877	427	255
1878	428	255
1879	428	255
1880	428	255
1881	428	254
1882	429	254
1883	429	254
1884	429	254
1885	429	253
1886	430	253
1887	430	253
1888	430	253
1889	430	252
1890	430	252
1891	431	252
1892	431	252
1893	431	252
1894	431	251
1895	431	251
1896	432	251
1897	432	251
1898	432	250
1899	432	250
1900	433	250
1901	433	250
1902	433	249
1903	433	249
1904	433	249
1905	434	249
1906	434	248
1907	434	248
1908	434	248
1909	434	248
1910	435	247
1911	435	247
1912	435	247
1913	435	247
1914	435	247
1915	436	246
1916	436	246
1917	436	246
1918	436	246
1919	436	245
1920	437	245
1921	437	245
1922	437	245
1923	437	244
1924	438	244
1925	438	244
1926	438	244
1927	438	243
1928	438	243
1929	439	243
1930	439	243
1931	439	242
1932	439	242
1933	439	242
1934	440	242
1935	440	241
1936	440	241
1937	440	241
1938	441	241
1939	441	241
1940	441	240
1941	441	240
1942	441	240
1943	442	240
1944	442	239
1945	442	239
1946	442	239
1947	442	239
1948	443	238
1949	443	238
1950	443	238
1951	443	238
1952	443	237
1953	444	237
1954	444	237
1955	444	237
1956	444	237
1957	445	236
1958	445	236
1959	445	236
1960	445	236
1961	445	235
1962	446	235
1963	446	235
1964	446	235
1965	446	234
1966	446	234
1967	447	234
1968	447	234
1969	447	233
1970	447	233
1971	447	233
1972	448	233
1973	448	233
1974	448	232
1975	448	232
1976	448	232
1977	449	232
1978	449	231
1979	449	231
1980	449	231
1981	449	231
1982	449	230
1983	450	230
1984	450	230
1985	450	230
1986	451	230
1987	451	229
1988	451	229
1989	451	229
1990	451	229
1991	452	228
1992	452	228
1993	452	228
1994	452	228
1995	452	227
1996	453	227
1997	453	227
1998	453	227
1999	453	226
2000	454	226
2001	454	226
2002	454	226
2003	454	226
2004	454	225
2005	455	225
2006	455	225
2007	455	225
2008	455	224
2009	456	224
2010	456	224
2011	456	224
2012	456	223
2013	456	223
2014	456	223
2015	457	223
2016	457	222
2017	457	222
2018	457	222
2019	457	222
2020	458	221
2021	458	221
2022	458	221
2023	458	221
2024	458	220
2025	459	220
2026	459	220
2027	459	220
2028	459	219
2029	459	219
2030	459	219
2031	460	219
2032	460	218
2033	460	218
2034	460	218
2035	460	218
2036	461	217
2037	461	217
2038	461	217
2039	462	217
2040	462	217
2041	462	216
2042	462	216
2043	462	216
2044	463	216
2045	463	215
2046	463	215
2047	463	215
2048	463	215
2049	464	215
2050	464	214
2051	464	214
2052	464	214
2053	464	214
2054	465	213
2055	465	213
2056	465	213
2057	465	213
2058	465	212
2059	465	212
2060	466	212
2061	466	212
2062	466	211
2063	466	211
2064	467	211
2065	467	211
2066	467	211
2067	467	210
2068	467	210
2069	468	210
2070	468	210
2071	468	209
2072	468	209
2073	468	209
2074	469	209
2075	469	208
2076	469	208
2077	469	208
2078	469	208
2079	470	207
2080	470	207
2081	470	207
2082	470	207
2083	470	206
2084	471	206
2085	471	206
2086	471	206
2087	471	205
2088	471	205
2089	471	205
2090	472	205
2091	472	205
2092	473	205
2093	473	204
2094	473	204
2095	473	204
2096	473	204
2097	474	203
2098	474	203
2099	474	203
2100	474	203
2101	475	202
2102	475	202
2103	475	202
2104	475	202
2105	475	201
2106	475	201
2107	476	201
2108	476	201
2109	476	201
2110	476	200
2111	477	200
2112	477	200
2113	477	200
2114	477	199
2115	477	199
2116	478	199
2117	478	199
2118	478	199
2119	478	198
2120	479	198
2121	479	198
2122	479	198
2123	479	197
2124	480	197
2125	480	197
2126	480	197
2127	480	197
2128	481	196
2129	481	196
2130	481	196
2131	481	196
